date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-11-23,Burgos,Eibar,1–0,,,9150,Estadio Municipal de El Plantío,
2024-11-23,Málaga,Racing Sant,0–0,,,26012,Estadio La Rosaleda,
2024-11-24,Albacete,Tenerife,2–1,,,9259,Estadio Carlos Belmonte,
2024-11-24,Dep La Coruña,Sporting Gijón,1–1,,,25619,Estadio Abanca-Riazor,
2024-11-24,CD Mirandés,Eldense,1–0,,,3372,Estadio Municipal de Anduva,
2024-11-24,Huesca,Castellón,1–1,,,5337,Estadio El Alcoraz,
2024-11-24,Elche,Oviedo,4–0,,,13998,Estadio Manuel Martínez Valero,
2024-11-26,Almería,Córdoba,4–0,,,10521,UD Almería Stadium,
2024-11-27,Levante,Málaga,4–2,,,12005,Estadio Ciudad de Valencia,
2024-11-27,Castellón,Racing Ferrol,0–0,,,8835,Estadio SkyFi Castalia,
2024-11-29,Oviedo,Huesca,0–3,,,17475,Estadio Nuevo Carlos Tartiere,
2024-11-30,Zaragoza,Albacete,0–1,,,18014,Estadio de la Romareda,
2024-11-30,Almería,Granada,2–1,,,13667,UD Almería Stadium,
2024-11-30,Racing Sant,CD Mirandés,0–1,,,21022,Campos de Sport de El Sardinero,
2024-11-30,Cádiz,Dep La Coruña,2–4,,,14972,Estadio Nuevo Mirandilla,
2024-11-30,Tenerife,Elche,1–1,,,12098,Estadio Heliodoro Rodríguez Lopéz,
2024-12-01,Castellón,Málaga,2–0,,,10175,Estadio SkyFi Castalia,
2024-12-01,Eldense,Racing Ferrol,0–0,,,4059,Estadio Municipal Nuevo Pepico Amat,
2024-12-01,Levante,Burgos,3–1,,,14265,Estadio Ciudad de Valencia,
